Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,161.2,163.9,165.2,146.4,133.1,126.6,120.2,113.7,107.3,100.8,90.2,79.6,69
Albania,16.3,18.7,19.3,18.8,18.5,18.9,19.4,19.8,20.3,20.7,20.4,20,19.6
Algeria,33.1,24.3,14.9,9.7,9.7,10.1,10.4,10.8,11.2,11.6,11.1,10.6,10.1
Angola,222,213,202.5,192.8,181.2,178.5,175.7,172.9,170.2,167.4,161.8,156.2,150.5
Antigua and Barbuda,83.3,71.8,65.4,59.7,51.2,50.3,49.5,48.7,47.8,47,45.6,44.2,42.8
Argentina,73.4,73.6,69.8,64.1,62.9,63.1,63.2,63.3,63.4,63.6,63.3,63,62.8
Armenia,65.6,80.1,49.9,32.4,27.8,27.2,26.6,26,25.4,24.8,23.7,22.6,21.5
Australia,21.1,20.9,19.5,16.9,17.1,16.1,15.2,14.2,13.3,12.3,12.1,11.9,11.7
Austria,21.4,20.4,14.8,13.3,11.1,10.6,10.1,9.5,9,8.5,8.1,7.7,7.3
Azerbaijan,25.7,37.5,42.3,32.6,38.5,40.6,42.8,44.9,47.1,49.2,51.4,53.6,55.8
Bahamas,69.8,69.6,61.9,44.1,39.5,38.1,36.8,35.5,34.1,32.8,31.9,30.9,30
Bahrain,32.5,22.3,18.8,16.8,14.8,14.6,14.5,14.3,14.2,14,13.8,13.6,13.4
Bangladesh,169.7,143.5,121.6,106,94.1,93,91.9,90.8,89.7,88.6,86.7,84.8,83
Barbados,49.9,57.9,52,50.5,47.3,46.4,45.5,44.6,43.6,42.7,39.7,36.6,33.5
Belarus,37.8,44.2,33,24.3,22.3,22.1,21.9,21.8,21.6,21.4,19.1,16.8,14.5
Belgium,11.4,10.8,10.2,10.9,10,9.2,8.4,7.6,6.8,6,5.6,5.1,4.7
Belize,131.6,121.7,106.3,91.2,78.7,77.5,76.3,75.1,73.9,72.7,71.3,69.9,68.5
Benin,123.1,126.8,122.8,115.7,108.7,106.2,103.8,101.3,98.8,96.4,92.9,89.5,86.1
Bhutan,107.5,101,89.2,69.2,47.9,43.9,39.9,36,32,28,25.4,22.8,20.2
Bolivia (Plurinational State of),96.4,92.1,87.8,85.7,81.9,80.1,78.3,76.5,74.7,72.9,70.2,67.6,64.9
Bosnia and Herzegovina,36.9,25.6,25.2,18.9,16.2,15.4,14.5,13.7,12.9,12.1,11.3,10.4,9.6
Botswana,122.1,95.1,70.3,51.7,48.7,48.6,48.5,48.4,48.3,48.1,47.5,46.8,46.1
Brazil,81.8,83.7,84.3,80.8,71.2,69.7,68.3,66.9,65.5,64.1,62.4,60.8,59.1
Brunei Darussalam,41.4,38.3,28.9,26.5,18.1,17.3,16.6,15.9,15.2,14.4,13.1,11.7,10.3
Bulgaria,75.8,66.7,48.2,42.5,46.2,45.7,45.2,44.7,44.2,43.8,42.5,41.2,39.9
Burkina Faso,150.2,144.8,142.6,137.1,129.7,126.8,124,121.1,118.3,115.4,111.7,108,104.3
Burundi,82.1,84.8,79,74.5,65.2,64.3,63.4,62.5,61.6,60.7,59,57.3,55.6
Cabo Verde,109,111.7,100.5,93.9,88.6,86.6,84.6,82.6,80.6,78.7,77,75.4,73.8
Cambodia,88.1,66.8,51.5,48.2,47,47.3,47.7,48.1,48.4,48.8,49.3,49.7,50.2
Cameroon,191.5,177.7,162,150,131.8,129.6,127.4,125.3,123.1,121,115.9,110.9,105.8
Canada,23.2,25.1,20.1,14.6,13.7,13.2,12.8,12.4,11.9,11.5,10.5,9.4,8.4
Central African Republic,160.2,154.8,150.7,148,143.9,142.8,141.7,140.6,139.6,138.5,135.3,132.2,129.1
Chad,218.1,218.1,216.4,209.7,196.1,192.5,188.9,185.4,181.8,178.2,172.5,166.8,161.1
Chile,62.5,68.5,65.4,57,55.1,54.8,54.6,54.3,54.1,53.8,49.6,45.3,41.1
China,26.7,15.8,11.7,8.7,7.3,7.3,7.3,7.3,7.4,7.4,7.5,7.5,7.6
Colombia,91.2,99.5,100.9,95.5,82.1,80.4,78.6,76.8,75.1,73.3,71.1,68.9,66.7
Comoros,118.8,108.2,98.9,92.2,79.5,78.5,77.5,76.5,75.5,74.4,71.4,68.4,65.4
Congo,132.7,125.4,122.9,121.6,120.6,120.1,119.7,119.2,118.8,118.3,116.3,114.3,112.2
Congo (Democratic Republic of the),132.8,127.1,124.1,126.3,130.8,130.5,130.2,129.9,129.6,129.3,127.6,125.9,124.2
Costa Rica,98.2,93.6,83.2,69.4,63.6,62.8,62,61.3,60.5,59.8,57.7,55.6,53.5
Croatia,34.9,20.7,19.1,15.2,14.6,13.9,13.2,12.5,11.9,11.2,10.3,9.5,8.7
Cuba,85.7,66.4,58.7,49.1,47.5,48.8,50,51.3,52.5,53.8,53,52.3,51.6
Cyprus,34.6,24.3,13.1,7.2,6.4,6.2,5.9,5.7,5.4,5.2,5,4.8,4.6
Czechia,50.5,41.1,16.6,11.4,11.1,11,11,10.9,10.8,10.8,11.2,11.6,12
Côte d'Ivoire,168,148.1,138.3,137.4,132,130.4,128.9,127.4,125.9,124.4,122.2,119.9,117.6
Denmark,9.2,8.9,8,6.6,5.9,5.6,5.3,5,4.7,4.4,4.3,4.2,4.1
Djibouti,50,45.5,36.4,30.9,25.3,24.6,23.9,23.2,22.4,21.7,20.8,19.8,18.8
Dominican Republic,108.1,112.9,109.9,106.5,104.6,103.2,101.8,100.4,99,97.6,96.5,95.4,94.3
Ecuador,88,85.5,84.3,84.1,83.6,83.4,83.3,83.1,82.9,82.7,81.6,80.4,79.3
Egypt,103.1,80.4,60.5,52.5,49.4,50.6,51.9,53.2,54.5,55.8,55.1,54.5,53.8
El Salvador,108.2,101.2,95.2,88.7,82.5,80.7,78.9,77.1,75.3,73.5,72.2,70.8,69.5
Equatorial Guinea,187.6,196.3,189.4,178.8,174.6,173,171.5,169.9,168.3,166.8,163.1,159.3,155.6
Eritrea,114.9,109.9,97.9,82.4,76.1,72.9,69.8,66.6,63.5,60.3,57.7,55.1,52.6
Estonia,44.5,47.1,30.4,23.5,22.6,21.3,20,18.7,17.4,16.1,13.3,10.5,7.7
Eswatini (Kingdom of),134.6,123.7,114.6,104.7,92,89.6,87.1,84.7,82.3,79.8,78.8,77.7,76.7
Ethiopia,119.3,117.7,117.5,106,86.6,84.9,83.2,81.4,79.7,78,74.2,70.5,66.7
Fiji,63.3,62.9,45.5,41.2,45.2,45.4,45.5,45.6,45.8,45.9,47.1,48.2,49.4
Finland,12.7,11.4,9.5,10.6,9.2,8.9,8.5,8.1,7.8,7.4,6.9,6.3,5.8
France,9.8,8,7.2,7.9,7.2,7.1,7,6.9,6.8,6.6,6,5.4,4.7
Gabon,193.9,177.8,151.7,129.7,116.8,114.7,112.5,110.4,108.3,106.2,102.9,99.5,96.2
Gambia,179.4,152.4,133,117.7,103.5,100.9,98.4,95.9,93.4,90.9,86.7,82.4,78.2
Georgia,53.8,68.9,60.5,48.4,50.8,50.9,51.1,51.3,51.5,51.6,49.9,48.2,46.4
Germany,17,15.9,13.1,12.4,9.8,9.4,9.1,8.7,8.4,8.1,8.1,8.1,8.1
Ghana,118,103.8,90.7,79.5,73.7,73.4,73,72.6,72.2,71.8,70.1,68.3,66.6
Greece,29.2,17.3,11.7,10.6,11.3,10.8,10.2,9.6,9.1,8.5,8.1,7.7,7.2
Grenada,99.2,83.5,61.5,51.2,42.4,41,39.6,38.2,36.8,35.4,33.3,31.2,29.2
Guatemala,130.3,128.3,118.8,106.6,89.1,87,84.9,82.8,80.7,78.6,76,73.5,70.9
Guinea,181.3,180.3,174.4,165.3,155.4,153.5,151.6,149.7,147.8,145.9,142.3,138.8,135.3
Guinea-Bissau,132.1,138.3,134.4,127.3,120.1,117.7,115.2,112.7,110.3,107.8,106.8,105.8,104.8
Guyana,78.5,88.8,92.7,100.2,92.6,90.7,88.8,86.9,85,83.1,80.2,77.3,74.4
Haiti,78.3,74.3,71.3,66.6,62.4,61.5,60.5,59.5,58.5,57.6,55.6,53.6,51.7
Honduras,133.5,127.5,123.4,111.3,95.2,92.2,89.2,86.1,83.1,80.1,77.7,75.3,72.9
"Hong Kong, China (SAR)",7.1,6.5,5.3,3.7,3,3,3,3,3,3,2.9,2.8,2.7
Hungary,45.8,36.5,25.6,21,19.5,19.7,19.9,20,20.2,20.3,21.5,22.8,24
Iceland,30.9,25.5,23.5,17.3,14.3,13.3,12.3,11.3,10.3,9.4,8.3,7.3,6.3
India,106,94,76.9,60.2,44.6,41.3,38,34.7,31.4,28.1,23.1,18.1,13.2
Indonesia,72.9,63.1,47.8,52,51.5,51.3,51.1,50.9,50.7,50.5,49.4,48.4,47.4
Iran (Islamic Republic of),111.4,70.6,44.3,32.8,31.5,32.1,32.7,33.4,34,34.6,36.6,38.6,40.6
Iraq,75.1,67.5,64.8,63.1,73.8,75,76.1,77.2,78.4,79.5,76.9,74.3,71.7
Ireland,15.8,16.2,18.2,18.8,16.3,15.2,14.1,13,11.9,10.8,9.7,8.6,7.5
Israel,21.9,19.3,17.7,16.1,14,13.5,13,12.5,12,11.5,10.9,10.3,9.6
Italy,10,7.7,6.4,7.1,7,6.8,6.6,6.3,6.1,5.9,5.7,5.5,5.2
Jamaica,106.3,97.7,93.8,84,74,71.4,68.7,66.1,63.4,60.8,58.1,55.4,52.8
Japan,4,3.7,4.4,5.7,5.1,5,4.9,4.7,4.6,4.5,4.2,4,3.8
Jordan,57.1,49.7,41,34.5,30.6,30.1,29.6,29.1,28.6,28.1,27.3,26.6,25.9
Kazakhstan,46.2,53.7,42.1,29.1,28.1,28.7,29.4,30,30.7,31.3,30.8,30.3,29.8
Kenya,147.8,115.3,111.5,104.2,97.1,94.9,92.7,90.5,88.3,86.2,82.5,78.8,75.1
Kiribati,49.3,45.9,41.6,33.5,27.2,26,24.8,23.6,22.4,21.1,19.5,17.8,16.2
Korea (Democratic People's Rep. of),3.2,1.8,1.2,1,0.6,0.6,0.5,0.4,0.4,0.3,0.3,0.3,0.3
Korea (Republic of),6.4,4.1,2.9,2.2,2,2,1.9,1.9,1.8,1.8,1.6,1.5,1.4
Kuwait,37.3,22.7,26.3,19.7,13.3,12.6,11.8,11,10.2,9.4,9,8.6,8.2
Kyrgyzstan,50.4,68.8,62.5,34.4,29.7,32.6,35.5,38.3,41.2,44,40.3,36.5,32.8
Lao People's Democratic Republic,110.2,104.9,90,77.3,72,71.2,70.3,69.4,68.5,67.7,66.9,66.2,65.4
Latvia,45.5,43.5,21.9,17.3,18.2,17.6,17,16.4,15.9,15.3,15.6,15.9,16.2
Lebanon,55.3,44.5,30.8,21.2,15,15.3,15.6,15.9,16.2,16.5,15.8,15.2,14.5
Lesotho,89.5,87.9,85.5,87.9,86.9,87.3,87.7,88.2,88.6,89,90.3,91.5,92.7
Liberia,182.1,161.4,152.1,146.7,141.2,140.8,140.3,139.9,139.5,139,138,137,136
Libya,17.1,11.8,8.3,6.3,6.3,6.2,6.2,6.2,6.2,6.1,6,5.9,5.8
Lithuania,30.2,44.9,31.8,21.1,18.9,17.8,16.7,15.6,14.5,13.4,12.6,11.7,10.9
Luxembourg,11.4,12.5,10.2,11.7,9.6,9,8.3,7.7,7,6.4,5.8,5.3,4.7
Madagascar,149.5,149.2,155.1,149.5,134.3,131.4,128.6,125.7,122.9,120,116.6,113.1,109.6
Malawi,193.2,159.3,160.9,155.7,154.5,152.5,150.4,148.4,146.3,144.2,140.4,136.5,132.7
Malaysia,19.8,19.1,14.8,13,12.7,12.8,12.9,13,13.1,13.1,13.2,13.3,13.4
Maldives,171.3,102.6,44.5,22.1,15.3,14.4,13.5,12.6,11.7,10.8,9.8,8.8,7.8
Mali,194.4,196.3,190.9,186.3,185.5,184.2,182.8,181.5,180.2,178.9,175.6,172.4,169.1
Malta,12.4,12,18.4,20.5,18,17.1,16.1,15.2,14.2,13.3,13.2,13,12.9
Mauritania,108.6,104,100.4,93.8,85.8,84.4,83.1,81.7,80.4,79,76.4,73.7,71
Mauritius,44.7,42.6,36.3,36.5,34.9,33.6,32.3,31,29.7,28.4,27.5,26.6,25.7
Mexico,88.5,84.8,83,76.1,70.3,69.4,68.6,67.7,66.8,66,64.1,62.2,60.4
Micronesia (Federated States of),53.5,48.4,44.8,34.3,25.4,24.1,22.7,21.3,19.9,18.6,17,15.5,13.9
Moldova (Republic of),48.6,63.2,58.1,31,27.2,26.9,26.6,26.3,26,25.8,24.6,23.5,22.4
Mongolia,33.9,38.4,31.4,21.5,19.2,20.7,22.2,23.6,25.1,26.6,28.1,29.5,31
