Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,43.1,43,42.3,44,42.7,43.3,44.1,45,46,47,47.8,48.5,48.7
Albania,53.8,53.8,51.8,48.1,45.7,47.1,48.8,44.7,44.8,47.7,47.5,47.3,47.2
Algeria,11.4,11.8,11.9,12.8,14.4,15.2,16.2,16.9,15.3,15.2,15,14.9,14.9
Angola,75,74.8,74.9,75.1,75.3,75.3,75.4,75.4,75.5,75.5,75.5,75.5,75.4
Argentina,43.2,48.1,50.4,49.4,47.8,48.1,48.2,47.8,47.2,47.8,48.5,49.1,49
Armenia,48.9,48.7,48,47.5,49.6,52.1,52,52.6,52,51.2,49.4,49.4,49.6
Australia,52.3,53.7,54.6,57.1,58.7,59,58.8,58.7,58.7,59.1,59.3,59.7,59.7
Austria,43.4,48.8,48.9,50.7,53.5,53.8,54.3,54.6,54.6,54.5,55,54.9,54.8
Azerbaijan,51.7,56.3,56.3,57.7,60.2,60.8,61.1,61.3,61.9,62.5,63,63.3,63.1
Bahamas,64.8,68.3,69,69.2,68.7,68.6,68.6,68.4,68.2,67.7,67.5,67.5,67.6
Bahrain,29.2,31.7,34.8,38.9,43.8,43,43.2,43.4,43.6,43.8,44,44.4,44.5
Bangladesh,23.6,24.8,26.5,27.8,29.9,30.4,30.9,31.4,31.9,32.4,32.9,35.9,36
Barbados,61.3,63.8,63.2,64.2,63.5,63.3,62.1,63.2,61.9,61.9,62.6,62.2,61.9
Belarus,53.2,52.6,53.3,55.4,57.5,57.9,58.1,58.4,58.5,58.6,58.7,58.4,58.1
Belgium,36.6,40.5,43.6,45.5,47.5,46.8,46.9,47.6,48,48,47.8,47.9,47.9
Belize,34.4,35.8,40.3,45.9,51.9,53.2,54.5,53.7,52.9,52.2,52.8,52.9,53.3
Benin,57.3,59.9,63.9,67.3,69.2,68.1,68.2,68.4,68.5,68.7,68.8,69,69.2
Bhutan,55.7,53.9,57.2,64.7,64.6,62.3,63.5,58.2,54.9,57.8,57.9,58,58.2
Bolivia (Plurinational State of),55.1,57.6,59.2,62.5,62,61.7,57.9,58.8,60.9,54.5,60.3,56.6,56.6
Bosnia and Herzegovina,41.3,39.5,38.6,37.8,37.1,36.8,36.6,36.3,36,35.7,35.3,35.7,35.6
Botswana,45.3,47.8,49.5,54.4,53.6,57.4,61.1,64.6,64.9,65.2,65.5,65.8,66.2
Brazil,42,47.3,50.3,55.1,53.6,52.2,53.1,53,52.9,53.4,53.3,54.2,54
Brunei Darussalam,45.9,50.4,55.8,56.2,56.9,57.2,57.4,57.6,57.8,58,58.2,58.4,58.2
Bulgaria,54.5,50.9,44.3,44.7,47.7,47.2,47.8,48.5,48.6,48.6,47.8,49.6,49.5
Burkina Faso,76.3,72.9,68,62.4,59.7,59.3,59,58.6,58.3,58.4,58.5,58.6,58.5
Burundi,90.8,88,84.3,82.1,80.4,80.1,79.9,79.8,79.6,79.8,80.1,80.3,80.4
Cabo Verde,42.3,47,50.8,54.3,58.7,59.7,60.7,61.6,62.6,63.5,64.1,64.7,65.1
Cambodia,77.1,77.2,76.6,76.9,81.8,80.7,79.4,78.1,76.8,75.3,75.2,75.1,75.2
Cameroon,78.1,78,78,78.1,70.6,70.7,70.8,70.9,71.1,71.2,71.3,71.4,71.2
Canada,57.9,56.8,58.7,60.9,61.9,61.6,61.6,61.7,61.1,60.8,60.8,61,60.9
Central African Republic,65.7,65.9,65.9,65.8,65.7,65.5,65.3,65.1,64.8,64.6,64.7,64.8,64.7
Chad,65.1,64.5,64.1,63.9,64.1,64.1,64.2,64.3,64.4,64.5,64.6,64.7,64.8
Chile,34.3,36.5,38.3,41.4,47.1,49,49.2,49.6,50.1,50.1,50.4,50.9,51
China,73.2,72.5,71,66.8,63.8,63.6,63.4,63.2,62.9,62.6,62.2,61.8,61.3
Colombia,52.1,52.9,54,53,56.5,57.3,58.8,58.7,58.7,59.3,58.9,58.6,58.6
Comoros,30.1,30.5,31.8,33.5,35.1,35.4,35.7,36,36.3,36.6,36.9,37.2,37.4
Congo,64.8,65.4,66.1,66.7,67.4,67.4,67.3,67.2,67.2,67.1,67.1,67,66.9
