Country,1990,1995,2000,2005,2010,2011,2012,2013,2014,2015
Afghanistan,1340,1270,1100,821,584,536,496,459,425,396
Albania,71,53,43,30,30,30,30,29,29,29
Algeria,216,192,170,148,147,147,145,144,141,140
Angola,1160,1150,924,705,561,546,526,509,493,477
Argentina,72,63,60,58,58,56,55,54,54,52
Armenia,58,50,40,40,33,31,30,28,26,25
Australia,8,8,9,7,6,7,6,6,6,6
Austria,8,6,5,5,4,4,4,4,4,4
Azerbaijan,64,86,48,34,27,26,25,25,26,25
Bahamas,46,49,61,74,85,86,82,81,83,80
Bahrain,26,22,21,20,16,16,16,15,15,15
Bangladesh,569,479,399,319,242,228,214,201,188,176
Barbados,58,49,48,40,33,31,29,28,28,27
Belarus,33,33,26,13,5,5,4,4,4,4
Belgium,9,10,9,8,8,8,7,7,7,7
Belize,54,55,53,52,37,33,32,29,28,28
Benin,576,550,572,502,446,436,429,422,414,405
Bhutan,945,636,423,308,204,190,177,166,156,148
Bolivia (Plurinational State of),425,390,334,305,253,241,230,222,215,206
Bosnia and Herzegovina,28,22,17,14,13,12,12,12,12,11
Botswana,243,238,311,276,169,159,153,139,134,129
Brazil,104,84,66,67,65,59,60,48,46,44
Brunei Darussalam,35,33,31,30,27,29,25,24,23,23
Bulgaria,25,24,21,15,11,11,10,11,11,11
Burkina Faso,727,636,547,468,417,408,398,389,379,371
Burundi,1220,1210,954,863,808,796,780,760,737,712
Cabo Verde,256,150,83,54,51,50,48,46,44,42
Cambodia,1020,730,484,315,202,188,178,173,167,161
Cameroon,728,749,750,729,676,652,632,619,609,596
Canada,7,9,9,9,8,8,8,7,7,7
Central African Republic,1290,1300,1200,1060,909,888,876,873,872,882
Chad,1450,1430,1370,1170,1040,984,931,901,881,856
Chile,57,41,31,27,26,25,24,23,23,22
China,97,72,58,48,35,33,31,29,28,27
Colombia,118,105,97,80,72,69,66,67,66,64
Comoros,635,563,499,436,388,376,365,354,344,335
Congo,603,634,653,596,509,494,483,469,452,442
Congo (Democratic Republic of the),879,914,874,787,794,777,771,746,717,693
Costa Rica,43,44,38,31,29,28,27,26,26,25
Croatia,10,12,11,11,10,10,9,9,9,8
Cuba,58,55,43,41,44,43,41,41,40,39
Cyprus,16,17,15,12,8,7,7,7,7,7
Czechia,14,10,7,6,5,5,4,4,4,4
Côte d'Ivoire,745,711,671,742,717,715,715,688,665,645
Denmark,11,11,9,8,7,8,7,7,7,6
Djibouti,517,452,401,341,275,266,257,243,237,229
Dominican Republic,198,198,79,64,75,115,62,106,98,92
Ecuador,185,131,103,74,75,78,74,70,66,64
Egypt,106,83,63,52,40,39,37,35,34,33
El Salvador,157,118,84,68,59,60,57,55,54,54
Equatorial Guinea,1310,1050,702,483,379,364,361,356,351,342
Eritrea,1590,1100,733,619,579,561,540,533,524,501
Estonia,42,43,26,15,8,10,9,9,9,9
Eswatini (Kingdom of),635,537,586,595,436,418,400,413,400,389
Ethiopia,1250,1080,897,743,523,482,447,410,378,353
Fiji,63,51,42,39,34,33,33,32,31,30
Finland,6,5,5,4,3,3,3,3,3,3
France,15,15,12,10,9,9,9,9,9,8
Gabon,422,405,405,370,322,317,314,308,295,291
Gambia,1030,977,887,807,753,753,741,730,719,706
Georgia,34,35,37,37,40,39,39,38,37,36
Germany,11,9,8,7,7,7,7,6,6,6
Ghana,634,532,467,376,325,320,324,321,322,319
Greece,5,4,4,3,3,3,3,3,3,3
Grenada,41,37,29,25,27,27,27,27,27,27
Guatemala,205,173,178,120,109,103,105,99,93,88
Guinea,1040,964,976,831,720,711,695,695,688,679
Guinea-Bissau,907,780,800,714,570,563,553,554,553,549
Guyana,171,205,210,232,241,239,239,236,233,229
Haiti,625,544,505,459,389,369,372,370,367,359
Honduras,272,166,133,150,155,149,141,135,132,129
Hungary,24,20,15,14,15,16,16,16,16,17
Iceland,7,6,5,4,4,3,3,4,4,3
India,556,471,374,280,215,206,197,189,181,174
Indonesia,446,326,265,212,165,156,148,140,133,126
Iran (Islamic Republic of),123,80,51,34,27,27,26,26,26,25
Iraq,107,87,63,54,51,51,51,50,50,50
Ireland,11,10,9,8,7,8,8,8,8,8
Israel,11,10,8,7,6,6,5,5,5,5
Italy,8,7,5,4,4,4,4,4,4,4
Jamaica,79,81,89,92,93,93,92,91,90,89
Japan,14,11,10,7,6,6,6,6,6,5
Jordan,110,93,77,62,59,59,59,59,59,58
Kazakhstan,78,92,65,44,20,17,15,13,12,12
Kenya,687,698,759,728,605,584,562,540,525,510
Kiribati,234,207,166,135,109,105,101,96,93,90
Korea (Democratic People's Rep. of),75,81,128,105,97,95,91,87,85,82
Korea (Republic of),21,19,16,14,15,14,13,12,12,11
Kuwait,7,9,7,6,5,4,4,4,4,4
Kyrgyzstan,80,92,74,85,84,87,81,79,77,76
Lao People's Democratic Republic,905,695,546,418,294,271,250,230,213,197
Latvia,48,54,30,22,19,21,18,18,18,18
Lebanon,74,54,42,27,19,18,17,16,16,15
Lesotho,629,525,649,746,587,555,549,532,513,487
Liberia,1500,1800,1270,1020,811,798,787,762,741,725
Libya,39,25,17,11,9,9,9,9,9,9
Lithuania,29,28,16,12,9,11,10,10,10,10
Luxembourg,12,13,13,13,11,11,11,10,10,10
Madagascar,778,644,536,508,436,420,402,384,369,353
Malawi,957,953,890,648,629,618,624,636,638,634
Malaysia,79,68,58,52,48,47,45,43,41,40
Maldives,677,340,163,101,87,82,76,70,69,68
Mali,1010,911,834,714,630,617,617,610,601,587
Malta,13,14,15,13,11,11,11,9,9,9
Mauritania,859,824,813,750,723,704,682,655,629,602
Mauritius,81,60,40,39,59,51,54,54,54,53
Mexico,90,85,77,54,45,42,42,41,39,38
Micronesia (Federated States of),183,166,153,134,115,110,107,104,102,100
Moldova (Republic of),51,66,49,39,34,25,26,24,24,23
Mongolia,186,205,161,95,63,58,53,49,46,44
Montenegro,10,12,11,9,8,7,8,7,7,7
Morocco,317,257,221,190,153,144,137,131,126,121
Mozambique,1390,1150,915,762,619,596,563,528,506,489
Myanmar,453,376,308,248,205,201,195,189,184,178
Namibia,338,320,352,390,319,315,299,283,273,265
Nepal,901,660,548,444,349,328,308,291,275,258
Netherlands,12,13,14,11,8,8,7,7,7,7
New Zealand,18,15,12,14,13,12,12,12,11,11
Nicaragua,173,212,202,190,166,153,164,159,154,150
Niger,873,828,794,723,657,635,619,596,574,553
Nigeria,1350,1250,1170,946,867,824,819,821,820,814
North Macedonia,14,13,12,10,8,7,8,8,8,8
Norway,7,7,7,7,6,6,5,5,5,5
Oman,30,20,20,20,18,18,18,18,18,17
Pakistan,431,363,306,249,211,204,197,190,184,178
"Palestine, State of",118,96,72,62,54,52,50,48,47,45
Panama,102,94,82,87,101,102,101,99,97,94
Papua New Guinea,470,377,342,277,238,231,227,224,220,215
Paraguay,150,147,158,159,139,145,139,136,134,132
Peru,251,206,140,114,92,85,75,72,70,68
Philippines,152,122,124,127,129,127,126,121,117,114
Poland,17,13,8,6,4,3,3,3,3,3
Portugal,17,15,13,12,11,10,11,10,10,10
Qatar,29,28,24,21,16,15,14,13,13,13
Romania,124,77,51,33,30,30,30,31,31,31
Russian Federation,63,82,57,42,29,27,26,25,25,25
Rwanda,1300,1260,1020,567,381,361,336,318,304,290
Saint Lucia,45,43,54,67,54,52,50,49,49,48
Saint Vincent and the Grenadines,58,81,74,50,50,48,47,46,45,45
Samoa,156,119,93,77,64,61,59,56,53,51
Sao Tome and Principe,330,263,222,181,162,161,162,161,159,156
Saudi Arabia,46,33,23,18,14,13,13,12,12,12
Senegal,540,509,488,427,375,365,351,335,323,315
Serbia,14,15,17,15,16,16,16,17,17,17
Sierra Leone,2630,2900,2650,1990,1630,1580,1510,1460,1410,1360
Singapore,12,13,18,16,11,12,12,11,10,10
Slovakia,11,9,8,7,6,6,6,6,6,6
Slovenia,12,12,12,11,9,9,8,9,9,9
Solomon Islands,364,273,214,164,136,131,126,122,118,114
Somalia,1210,1190,1080,939,820,808,791,775,753,732
South Africa,108,62,85,112,154,154,152,145,140,138
South Sudan,1730,1530,1310,1090,876,869,857,841,823,789
Spain,6,6,5,5,5,5,5,5,5,5
Sri Lanka,75,70,57,43,35,33,32,32,31,30
Sudan,744,648,544,440,349,339,330,325,318,311
Suriname,127,177,259,223,169,157,155,162,158,155
Sweden,8,6,5,5,4,4,4,4,4,4
Switzerland,8,8,7,7,6,6,6,5,5,5
Syrian Arab Republic,123,89,73,58,49,52,56,60,64,68
Tajikistan,107,129,68,46,35,35,34,34,33,32
Tanzania (United Republic of),997,961,842,687,514,483,464,438,418,398
Thailand,40,23,25,26,23,22,22,21,21,20
Timor-Leste,1080,897,694,506,317,289,267,248,231,215
